ATG,Antigua and Barbuda,Median,118.8339,116.4641,113.9610,111.2790,108.5145,105.5786,102.5706,99.4080,95.8621,91.5514,86.2795,80.4071,73.9679,67.3732,60.7944,54.4884,48.6172,43.3496,38.8127,34.9403,31.6704,28.9982,26.8398,25.0427,23.4911,22.0829,20.7735,19.5147,18.3254,17.2665,16.3053,15.4907,14.8267,14.3242,13.9524,13.7168,13.5928,13.5834,13.6615,13.8311,14.0625,14.3695,14.7202,15.0895,15.4531,15.7461,15.9670,16.0613,16.0172,15.8379,15.5298,15.1212,14.6531,14.1001,13.5321,12.9366,12.3417,11.7492,11.1625,10.5995,10.0573,9.5322,9.0237,8.5542,8.1251,7.7500,7.4272,7.1195,6.8434,6.5926,6.3583,6.1446
ATG,Antigua and Barbuda,Upper,129.3057,124.1599,120.0698,116.8964,113.9231,110.7798,107.6829,104.2796,100.5703,96.1197,90.6688,84.6711,78.1900,71.5737,64.9208,58.4681,52.3932,46.9794,42.1386,37.9724,34.5318,31.6426,29.3185,27.4117,25.7997,24.3797,23.0576,21.7740,20.5375,19.3924,18.3484,17.4477,16.7313,16.1818,15.8183,15.6281,15.5267,15.5355,15.5972,15.7439,15.9513,16.2238,16.5234,16.8892,17.2475,17.5542,17.7566,17.8467,17.7644,17.5951,17.2856,16.8540,16.3703,15.7868,15.1734,14.5594,13.9297,13.3019,12.6895,12.0384,11.4573,10.9017,10.4310,10.0625,9.7778,9.5939,9.4905,9.4250,9.4257,9.4279,9.4654,9.5216
ARG,Argentina,Lower,,,,,,,,,,,,,,,,,,,,68.3824,68.8272,67.9788,66.5026,64.7897,62.8220,60.5691,57.6730,54.1384,50.0894,45.8910,42.0467,38.6358,35.7984,33.4358,31.4983,30.0179,29.0021,28.5476,28.4222,28.3841,28.2381,27.7929,27.0445,26.0396,24.9276,23.8399,22.7661,21.7687,20.8516,20.0149,19.3019,18.6269,17.9862,17.3751,16.7951,16.2711,15.8041,15.4307,15.0782,14.6750,14.2061,13.6608,13.0940,12.5136,11.9353,11.3770,10.7552,10.0572,9.2693,8.3956,7.4624,6.5790
ARG,Argentina,Median,,,,,,,,,,,,,,,,,,,,72.4290,71.7369,70.8739,69.7445,68.2427,66.1817,63.3984,59.8805,55.6782,51.1827,46.8193,42.8570,39.3997,36.4873,34.0805,32.1212,30.5976,29.5715,29.0871,28.9706,28.9360,28.7663,28.3359,27.5659,26.5443,25.4169,24.2951,23.2104,22.1890,21.2568,20.4156,19.6753,18.9939,18.3431,17.7157,17.1256,16.5863,16.1123,15.7214,15.3654,14.9635,14.4769,13.9275,13.3430,12.7485,12.1681,11.5936,10.9686,10.2531,9.4509,8.5805,7.7008,6.9182
ARG,Argentina,Upper,,,,,,,,,,,,,,,,,,,,76.7354,74.6670,73.8507,73.2767,71.9488,69.6909,66.3382,62.1250,57.2781,52.3062,47.7454,43.6915,40.1908,37.1999,34.7429,32.7547,31.1713,30.1486,29.6360,29.5222,29.4912,29.3018,28.8957,28.1040,27.0531,25.9170,24.7469,23.6592,22.6155,21.6633,20.8113,20.0433,19.3658,18.6915,18.0527,17.4560,16.9032,16.4323,16.0274,15.6617,15.2531,14.7506,14.2030,13.5978,12.9904,12.4024,11.8181,11.1917,10.4572,9.6348,8.7717,7.9564,7.2866
ARM,Armenia,Lower,,,,,,,,,,,,,,,,,,,,,,,,,,,72.3305,70.5117,68.6327,66.5976,64.5147,62.4151,60.2775,58.0811,56.0544,54.0301,52.1094,50.0894,84.0117,46.3609,44.4378,42.5184,40.7037,38.8708,37.0825,35.3652,33.6951,32.0714,30.5106,28.9983,27.5659,26.1522,24.7930,23.5014,22.2417,21.0696,19.9446,18.8607,17.8180,16.8546,15.9688,15.1100,14.2991,13.5116,12.7802,12.0859,11.4187,10.7851,10.1643,9.5716,9.0043,8.4341
ARM,Armenia,Median,,,,,,,,,,,,,,,,,,,,,,,,,,,86.9337,83.4026,79.9954,76.7691,73.6532,70.6723,67.8463,65.1364,62.5854,60.1046,57.7072,55.4108,92.6839,51.0589,48.9290,46.8809,44.8244,42.8272,40.8920,39.0216,37.2081,35.4673,33.8190,32.1921,30.6564,29.1951,27.7697,26.4065,25.1109,23.8914,22.7130,21.5928,20.5212,19.5164,18.5445,17.6239,16.7531,15.9150,15.1379,14.4079,13.7116,13.0449,12.4245,11.8260,11.2623,10.7211
ARM,Armenia,Upper,,,,,,,,,,,,,,,,,,,,,,,,,,,103.6767,98.0635,92.9373,88.2781,83.9553,79.9813,76.2348,72.8003,69.6623,66.6467,63.8792,61.2408,102.2880,56.2709,53.8804,51.5535,49.3200,47.1522,45.0404,42.9913,40.9458,39.0837,37.2210,35.4418,33.7596,32.1500,30.6115,29.1502,27.7666,26.4468,25.1934,24.0330,22.9384,21.9260,20.9725,20.0634,19.2181,18.4005,17.5968,16.8631,16.1747,15.5194,14.9217,14.3770,13.8781,13.4087
AUS,Australia,Lower,30.5665,30.2850,29.6553,28.9048,28.1349,27.4352,26.7396,26.1117,25.5184,24.9347,24.3848,23.8139,23.2712,22.7419,22.2718,21.9150,21.6624,21.5407,21.4689,21.3253,21.0616,20.5762,19.9143,19.0563,18.0504,16.9811,15.9086,14.9343,14.0800,13.3526,12.7774,12.3029,11.9416,11.6432,11.3586,11.0814,10.7582,10.4051,9.9910,9.5208,9.0184,8.4936,7.9986,7.5490,7.1706,6.8782,6.6425,6.4667,6.3263,6.1961,6.0743,5.9553,5.8688,5.7927,5.7116,5.6134,5.4792,5.3134,5.1189,4.8996,4.6744,4.4436,4.2287,4.0377,3.8854,3.7859,3.7219,3.6920,3.6770,3.6558,3.6025,3.5027
AUS,Australia,Median,31.5903,30.9706,30.2520,29.4857,28.7096,27.9629,27.2567,26.6078,26.0054,25.4247,24.8497,24.2790,23.7143,23.1794,22.7142,22.3527,22.0994,21.9690,21.8858,21.7412,21.4551,20.9815,20.2964,19.4280,18.4104,17.3097,16.2218,15.2304,14.3629,13.6290,13.0275,12.5486,12.1725,11.8637,11.5819,11.2895,10.9674,10.6034,10.1854,9.7086,9.1888,8.6587,8.1523,7.6965,7.3122,7.0095,6.7737,6.5926,6.4467,6.3147,6.1873,6.0759,5.9861,5.9092,5.8257,5.7204,5.5850,5.4171,5.2183,4.9982,4.7664,4.5358,4.3172,4.1257,3.9757,3.8723,3.8087,3.7768,3.7629,3.7544,3.7397,3.7119
